Mã,Tên,Tên Tiếng Anh,Cấp,Mã TP,Tình/ Thành Phố,Nghị định
01,Thành phố Hà Nội,,Thành phố Trung ương,,,
01,Thành phố Hà Nội,,Thành phố Trung ương,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00004,Phường Ba Đình,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00008,Phường Ngọc Hà,Lieu Giai Commune,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00025,Phường Giảng Võ,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00070,"Phường
Hoàn Kiếm",,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00082,Phường Cửa Nam,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00091,Phường Phú Thượng,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00097,Phường Hồng Hà,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00103,Phường Tây Hồ,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00118,Phường Bồ Đề,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00127,Phường Việt Hưng,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00136,Phường Phúc Lợi,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00145,Phường Long Biên,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00160,Phường Nghĩa Đô,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00166,Phường Cầu Giấy,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00175,Phường Yên Hòa,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
